BJCP Style Name,BJCP Family Name,Balance: Balanced,Balance: Malty,Balance: Not Listed,Balance: Bitter,Minimum SRM,Maximum SRM,Minimum ABV,Maximum ABV,Minimum OG,Maximum OG,Minimum FG,Maximum FG,Minimum IBU,Maximum IBU,Average SRM,Average ABV,Average OG,Average FG,Average IBU,IBU To OG Ratio for Average IBU and OG
01a. American Light Lager,Standard American Beer,1,,,,2,3,2.8,4.2,1.028,1.04,0.998,1.008,8,12,2.5,3.5,1.034,1.003,10,0.29
01b. American Lager,Standard American Beer,1,,,,2,4,4.2,5.3,1.04,1.05,1.004,1.01,8,18,3,4.75,1.045,1.007,13,0.29
01c. Cream Ale,Standard American Beer,1,,,,2.5,5,4.2,5.6,1.042,1.055,1.006,1.012,8,20,3.75,4.9,1.0485,1.009,14,0.29
01d. American Wheat Beer,Standard American Beer,1,,,,3,6,4,5.5,1.04,1.055,1.008,1.013,15,30,4.5,4.75,1.0475,1.0105,22.5,0.47
02a. International Pale Lager,International Lager,1,,,,2,6,4.6,6,1.042,1.05,1.008,1.012,18,25,4,5.3,1.046,1.01,21.5,0.47
02b. International Amber Lager,International Lager,,1,,,7,14,4.6,6,1.042,1.055,1.008,1.014,8,25,10.5,5.3,1.0485,1.011,16.5,0.34
02c. International Dark Lager,International Lager,,1,,,14,22,4.2,6,1.044,1.056,1.008,1.012,8,20,18,5.1,1.05,1.01,14,0.28
03a. Czech Pale Lager,Czech Lager,,,,1,3,6,3,4.1,1.028,1.044,1.008,1.014,20,35,4.5,3.55,1.036,1.011,27.5,0.76
03b. Czech Premium Pale Lager,Czech Lager,1,,,,3.5,6,4.2,5.8,1.044,1.06,1.013,1.017,30,45,4.75,5,1.052,1.015,37.5,0.72
03c. Czech Amber Lager,Czech Lager,1,,,,10,16,4.4,5.8,1.044,1.06,1.013,1.017,20,35,13,5.1,1.052,1.015,27.5,0.53
03d. Czech Dark Lager,Czech Lager,1,,,,14,35,4.4,5.8,1.044,1.06,1.013,1.017,18,34,24.5,5.1,1.052,1.015,26,0.5
04a. Munich Helles,Pale Malty European Lager,,1,,,3,5,4.7,5.4,1.044,1.048,1.006,1.012,16,22,4,5.05,1.046,1.009,19,0.41
04b. Helles Bock,Pale Malty European Lager,,1,,,6,11,6.3,7.4,1.064,1.072,1.011,1.018,23,35,8.5,6.85,1.068,1.0145,29,0.43
04c. Festbier,Pale Malty European Lager,,1,,,4,7,5.8,6.3,1.054,1.057,1.01,1.012,18,25,5.5,6.05,1.0555,1.011,21.5,0.39
05a. German Leichtbier,Pale Bitter European Beer,,,,1,2,5,2.4,3.6,1.026,1.034,1.006,1.01,15,28,3.5,3,1.03,1.008,21.5,0.72
05b. Kolsch,Pale Bitter European Beer,1,,,,3.5,5,4.4,5.2,1.044,1.05,1.007,1.011,18,30,4.25,4.8,1.047,1.009,24,0.51
05c. German Helles Exportbier,Pale Bitter European Beer,1,,,,4,7,4.8,6,1.048,1.056,1.01,1.015,20,30,5.5,5.4,1.052,1.0125,25,0.48
05d. German Pils,Pale Bitter European Beer,,,,1,2,5,4.4,5.2,1.044,1.05,1.008,1.013,22,40,3.5,4.8,1.047,1.0105,31,0.66
06a. Marzen,Amber Malty European Lager,,1,,,8,17,5.8,6.3,1.054,1.06,1.01,1.014,18,24,12.5,6.05,1.057,1.012,21,0.37
06b. Rauchbier,Amber Malty European Lager,,1,,,12,22,4.8,6,1.05,1.057,1.012,1.016,20,30,17,5.4,1.0535,1.014,25,0.47
06c. Dunkles Bock,Amber Malty European Lager,,1,,,14,22,6.3,7.2,1.064,1.072,1.013,1.019,20,27,18,6.75,1.068,1.016,23.5,0.35
07a. Vienna Lager,Amber Bitter European Beer,1,,,,9,15,4.7,5.5,1.048,1.055,1.01,1.014,18,32,12,5.1,1.0515,1.012,25,0.49
07b. Altbier,Amber Bitter European Beer,,,,1,11,17,4.3,5.5,1.044,1.052,1.008,1.014,25,50,14,4.9,1.048,1.011,37.5,0.78
"07c. Kellerbier, amber",Amber Bitter European Beer,1,,,,7,17,4.8,5.4,1.048,1.054,1.012,1.016,25,40,12,5.1,1.051,1.014,32.5,0.64
"07c. Kellerbier, pale",Amber Bitter European Beer,1,,,,3,7,4.7,5.4,1.045,1.051,1.008,1.012,20,35,5,5.05,1.048,1.01,27.5,0.57
08a. Munich Dunkel,Dark European Lager,,1,,,14,28,4.5,5.6,1.048,1.056,1.01,1.016,18,28,21,5.05,1.052,1.013,23,0.44
08b. Schwarzbier,Dark European Lager,1,,,,17,30,4.4,5.4,1.046,1.052,1.01,1.016,20,30,23.5,4.9,1.049,1.013,25,0.51
09a. Doppelbock,Strong European Beer,,1,,,6,25,7,10,1.072,1.112,1.016,1.024,16,26,15.5,8.5,1.092,1.02,21,0.23
09b. Eisbock,Strong European Beer,,1,,,18,30,9,14,1.078,1.12,1.02,1.035,25,35,24,11.5,1.099,1.0275,30,0.3
09c. Baltic Porter,Strong European Beer,,1,,,17,30,6.5,9.5,1.06,1.09,1.016,1.024,20,40,23.5,8,1.075,1.02,30,0.4
10a. Weissbier,German Wheat Beer,,1,,,2,6,4.3,5.6,1.044,1.052,1.01,1.014,8,15,4,4.95,1.048,1.012,11.5,0.24
10b. Dunkles Weissbier,German Wheat Beer,,1,,,14,23,4.3,5.6,1.044,1.056,1.01,1.014,10,18,18.5,4.95,1.05,1.012,14,0.28
10c. Weizenbock,German Wheat Beer,,1,,,6,25,6.5,9,1.064,1.09,1.015,1.022,15,30,15.5,7.75,1.077,1.0185,22.5,0.29
11a. Ordinary Bitter,British Bitter,,,,1,8,14,3.2,3.8,1.03,1.039,1.007,1.011,25,35,11,3.5,1.0345,1.009,30,0.87
11b. Best Bitter,British Bitter,,,,1,8,16,3.8,4.6,1.04,1.048,1.008,1.012,25,40,12,4.2,1.044,1.01,32.5,0.74
11c. Strong Bitter,British Bitter,,,,1,8,18,4.6,6.2,1.048,1.06,1.01,1.016,30,50,13,5.4,1.054,1.013,40,0.74
12a. British Golden Ale,Pale Commonwealth Beer,,,,1,2,6,3.8,5,1.038,1.053,1.006,1.012,20,45,4,4.4,1.0455,1.009,32.5,0.71
12b. Australian Sparkling Ale,Pale Commonwealth Beer,,,,1,4,7,4.5,6,1.038,1.05,1.004,1.006,20,35,5.5,5.25,1.044,1.005,27.5,0.63
12c. English IPA,Pale Commonwealth Beer,,,,1,6,14,5,7.5,1.05,1.075,1.01,1.018,40,60,10,6.25,1.0625,1.014,50,0.8
13a. Dark Mild,Brown British Beer,,1,,,12,25,3,3.8,1.03,1.038,1.008,1.013,10,25,18.5,3.4,1.034,1.0105,17.5,0.51
13b. British Brown Ale,Brown British Beer,,1,,,12,22,4.2,5.4,1.04,1.052,1.008,1.013,20,30,17,4.8,1.046,1.0105,25,0.54
13c. English Porter,Brown British Beer,,1,,,20,30,4,5.4,1.04,1.052,1.008,1.014,18,35,25,4.7,1.046,1.011,26.5,0.58
14a. Scottish Light,Scottish Ale,,1,,,17,22,2.5,3.2,1.03,1.035,1.01,1.013,10,20,19.5,2.85,1.0325,1.0115,15,0.46
14b. Scottish Heavy,Scottish Ale,,1,,,13,22,3.2,3.9,1.035,1.04,1.01,1.015,10,20,17.5,3.55,1.0375,1.0125,15,0.4
14c. Scottish Export,Scottish Ale,,1,,,13,22,3.9,6,1.04,1.06,1.01,1.016,15,30,17.5,4.95,1.05,1.013,22.5,0.45
15a. Irish Red Ale,Irish Beer,1,,,,9,14,3.8,5,1.036,1.046,1.01,1.014,18,28,11.5,4.4,1.041,1.012,23,0.56
15b. Irish Stout,Irish Beer,,,,1,25,40,4,4.5,1.036,1.044,1.007,1.011,25,45,32.5,4.25,1.04,1.009,35,0.88
15c. Irish Extra Stout,Irish Beer,,,,1,25,40,5.5,6.5,1.052,1.062,1.01,1.014,35,50,32.5,6,1.057,1.012,42.5,0.75
16a. Sweet Stout,Dark British Beer,,1,,,30,40,4,6,1.044,1.06,1.012,1.024,20,40,35,5,1.052,1.018,30,0.58
16b. Oatmeal Stout,Dark British Beer,,1,,,22,40,4.2,5.9,1.045,1.065,1.01,1.018,25,40,31,5.05,1.055,1.014,32.5,0.59
16c. Tropical Stout,Dark British Beer,,1,,,30,40,5.5,8,1.056,1.075,1.01,1.018,30,50,35,6.75,1.0655,1.014,40,0.61
16d. Foreign Extra Stout,Dark British Beer,,1,,,30,40,6.3,8,1.056,1.075,1.01,1.018,50,70,35,7.15,1.0655,1.014,60,0.92
17a. British Strong Ale,Strong British Ale,,1,,,8,22,5.5,8,1.055,1.08,1.015,1.022,30,60,15,6.75,1.0675,1.0185,45,0.67
17b. Old Ale,Strong British Ale,,1,,,10,22,5.5,9,1.055,1.088,1.015,1.022,30,60,16,7.25,1.0715,1.0185,45,0.63
17c. Wee Heavy,Strong British Ale,,1,,,14,25,6.5,10,1.07,1.13,1.018,1.04,17,35,19.5,8.25,1.1,1.029,26,0.26
17d. English Barleywine,Strong British Ale,,1,,,8,22,8,12,1.08,1.12,1.018,1.03,35,70,15,10,1.1,1.024,52.5,0.53
18a. Blonde Ale,Pale American Ale,1,,,,3,6,3.8,5.5,1.038,1.054,1.008,1.013,15,28,4.5,4.65,1.046,1.0105,21.5,0.47
18b. American Pale Ale,Pale American Ale,,,,1,5,10,4.5,6.2,1.045,1.06,1.01,1.015,30,50,7.5,5.35,1.0525,1.0125,40,0.76
19a. American Amber Ale,Amber and Brown American Beer,1,,,,10,17,4.5,6.2,1.045,1.06,1.01,1.015,25,40,13.5,5.35,1.0525,1.0125,32.5,0.62
19b. California Common,Amber and Brown American Beer,,,,1,10,14,4.5,5.5,1.048,1.054,1.011,1.014,30,45,12,5,1.051,1.0125,37.5,0.74
19c. American Brown Ale,Amber and Brown American Beer,1,,,,18,35,4.3,6.2,1.045,1.06,1.01,1.016,20,30,26.5,5.25,1.0525,1.013,25,0.48
20a. American Porter,American Porter and Stout,,,,1,22,40,4.8,6.5,1.05,1.07,1.012,1.018,25,50,31,5.65,1.06,1.015,37.5,0.63
20b. American Stout,American Porter and Stout,,,,1,30,40,5,7,1.05,1.075,1.01,1.022,35,75,35,6,1.0625,1.016,55,0.88
20c. Imperial Stout,American Porter and Stout,,1,,,30,40,8,12,1.075,1.115,1.018,1.03,50,90,35,10,1.095,1.024,70,0.74
21a. American IPA,IPA,,,,1,6,14,5.5,7.5,1.056,1.07,1.008,1.014,40,70,10,6.5,1.063,1.011,55,0.87
21b. Belgian IPA,IPA,,,,1,5,15,6.2,9.5,1.058,1.08,1.008,1.016,50,100,10,7.85,1.069,1.012,75,1.09
21b. Black IPA,IPA,,,,1,25,40,5.5,9,1.05,1.085,1.01,1.018,50,90,32.5,7.25,1.0675,1.014,70,1.04
21b. Brown IPA,IPA,,,,1,11,19,5.5,7,1.056,1.07,1.008,1.016,40,70,15,6.25,1.063,1.012,55,0.87
21b. Red IPA,IPA,,,,1,11,19,5.5,7.5,1.056,1.07,1.008,1.016,40,70,15,6.5,1.063,1.012,55,0.87
21b. Rye IPA,IPA,,,,1,6,14,5.5,8,1.056,1.075,1.008,1.016,50,75,10,6.75,1.0655,1.012,62.5,0.95
21b. White IPA,IPA,,,,1,5,8,5.5,7,1.056,1.065,1.01,1.016,40,70,6.5,6.25,1.0605,1.013,55,0.91
22a. Double IPA,Strong American Ale,,,,1,6,14,7.5,10,1.065,1.085,1.008,1.016,60,120,10,8.75,1.075,1.012,90,1.2
22b. American Strong Ale,Strong American Ale,,,,1,7,19,6.3,10,1.062,1.09,1.014,1.016,50,100,13,8.15,1.076,1.015,75,0.99
22c. American Barleywine,Strong American Ale,,,,1,10,19,8,12,1.08,1.12,1.016,1.016,50,100,14.5,10,1.1,1.016,75,0.75
22d. Wheatwine,Strong American Ale,1,,,,8,15,8,12,1.08,1.12,1.016,1.016,30,60,11.5,10,1.1,1.016,45,0.45
23a. Berliner Weisse,European Sour Ale,,,,,2,3,2.8,3.8,1.028,1.032,1.003,1.016,3,8,2.5,3.3,1.03,1.0095,5.5,0.18
23b. Flanders Red Ale,European Sour Ale,1,,,,10,16,4.6,6.5,1.048,1.057,1.002,1.016,10,25,13,5.55,1.0525,1.009,17.5,0.33
23c. Oud Bruin,European Sour Ale,,1,,,15,22,4,8,1.04,1.074,1.008,1.016,20,25,18.5,6,1.057,1.012,22.5,0.39
24a. Witbier,Belgian Ale,,1,,,2,4,4.5,5.5,1.044,1.052,1.008,1.016,8,20,3,5,1.048,1.012,14,0.29
24b. Belgian Pale Ale,Belgian Ale,1,,,,8,14,4.8,5.5,1.048,1.054,1.01,1.016,20,30,11,5.15,1.051,1.013,25,0.49
24c. Biere de Garde,Belgian Ale,,1,,,6,19,6,8.5,1.06,1.08,1.008,1.016,18,28,12.5,7.25,1.07,1.012,23,0.33
24d. Lambic,European Sour Ale,,,1,,3,7,5,6.5,1.04,1.054,1.001,1.016,0,10,5,5.75,1.047,1.0085,5,0.11
24e. Gueuze,European Sour Ale,,,1,,3,7,5,8,1.04,1.06,1,1.016,0,10,5,6.5,1.05,1.008,5,0.1
24f. Fruit Lambic,European Sour Ale,,,1,,3,7,5,7,1.04,1.06,1,1.016,0,10,5,6,1.05,1.008,5,0.1
25a. Belgian Blond Ale,Strong Belgian Ale,1,,,,4,7,6,7.5,1.062,1.075,1.008,1.016,15,30,5.5,6.75,1.0685,1.012,22.5,0.33
25b. Saison,Strong Belgian Ale,,,,1,5,22,3.5,9.5,1.048,1.065,1.002,1.016,20,35,13.5,6.5,1.0565,1.009,27.5,0.49
25c. Belgian Golden Strong Ale,Strong Belgian Ale,,,,1,3,6,7.5,10.5,1.07,1.095,1.005,1.016,22,35,4.5,9,1.0825,1.0105,28.5,0.35
26a. Trappist Single,Trappist Ale,,,,1,3,5,4.8,6,1.044,1.054,1.004,1.016,25,45,4,5.4,1.049,1.01,35,0.71
26b. Belgian Dubbel,Trappist Ale,,1,,,10,17,6,7.6,1.062,1.075,1.008,1.016,15,25,13.5,6.8,1.0685,1.012,20,0.29
26c. Belgian Trippel,Trappist Ale,,,,1,4.5,7,7.5,9.5,1.075,1.085,1.008,1.016,20,40,5.75,8.5,1.08,1.012,30,0.38
26d. Belgian Dark Strong Ale,Trappist Ale,,1,,,12,22,8,12,1.075,1.11,1.01,1.016,20,35,17,10,1.0925,1.013,27.5,0.3
27. Gose,Historical Beer,,,1,,3,4,4.2,4.8,1.036,1.056,1.006,1.016,5,12,3.5,4.5,1.046,1.011,8.5,0.18
27. Kentucky Common,Historical Beer,1,,,,11,20,4,5.5,1.044,1.055,1.01,1.016,15,30,15.5,4.75,1.0495,1.013,22.5,0.45
27. Lichtenhainer,Historical Beer,,,1,,3,6,3.5,4.7,1.032,1.04,1.004,1.016,5,12,4.5,4.1,1.036,1.01,8.5,0.24
27. London Brown Ale,Historical Beer,,1,,,15,20,2.8,3.6,1.033,1.038,1.012,1.016,15,20,17.5,3.2,1.0355,1.014,17.5,0.49
27. Piwo Grodziskie,Historical Beer,,,,1,3,6,2.5,3.3,1.028,1.032,1.006,1.016,20,35,4.5,2.9,1.03,1.011,27.5,0.92
27. Pre-Prohibition Lager,Historical Beer,,,,1,3,6,4.5,6,1.044,1.06,1.01,1.016,25,40,4.5,5.25,1.052,1.013,32.5,0.63
27. Pre-Prohibition Porter,Historical Beer,,1,,,18,30,4.5,6,1.046,1.06,1.01,1.016,20,30,24,5.25,1.053,1.013,25,0.47
27. Roggenbier,Historical Beer,,,1,,14,19,4.5,6,1.046,1.056,1.01,1.016,10,20,16.5,5.25,1.051,1.013,15,0.29
27. Sahti,Historical Beer,,,1,,4,22,7,11,1.076,1.12,1.016,1.016,7,15,13,9,1.098,1.016,11,0.11
