Style,Category,Number,ABV_Low,ABV_High,ABV_Avg,IBU_Low,IBU_High,IBU_Avg,SRM_Low,SRM_High,SRM_Avg,OG_Low,OG_High,OG_Avg,A_degree_P_Avg,FG_Low,FG_High,FG_Avg,"P_Avg",ADF,BU_GU,"Relative_Bitterness",RDF,Year,RE (SG),RE (P),"BU:RE
(°P)","BU:REU
(SG)","BU:FG
(°P)","BU:FGU
(SG)","BU:FG
(SG)",Ingredients
Altbier,Amber Bitter European Beer,07B,4.3,5.5,4.9,25,50,37.5,11,17,14,1.044,1.052,1.048,11.86,1.008,1.014,1.011,2.82,76.24%,0.781,0.808,62.46%,2015,1.018,4.453,8.4,2.12,13.3,3.4,37.1,
Amber Kellerbier,Amber Bitter European Beer,07C,4.8,5.4,5.1,25,40,32.5,7,17,12,1.048,1.054,1.051,12.57,1.012,1.016,1.014,3.58,71.55%,0.637,0.629,58.61%,2015,1.021,5.202,6.2,1.57,9.1,2.3,32.1,
American Amber Ale,Amber and Brown American Beer,19A,4.5,6.2,5.4,25,40,32.5,10,17,13.5,1.045,1.06,1.053,12.92,1.01,1.015,1.013,3.2,75.25%,0.619,0.634,61.64%,2015,1.02,4.955,6.6,1.65,10.2,2.6,32.1,
American Barleywine,Strong American Ale,22C,8,12,10,50,100,75,10,19,14.5,1.08,1.12,1.1,23.55,1.016,1.03,1.023,5.82,75.27%,0.75,0.769,61.66%,2015,1.037,9.027,8.3,2.03,12.9,3.3,73.3,
American Brown Ale,Amber and Brown American Beer,19C,4.3,6.2,5.3,20,30,25,18,35,26.5,1.045,1.06,1.053,12.92,1.01,1.016,1.013,3.32,74.27%,0.476,0.483,60.84%,2015,1.02,5.059,4.9,1.24,7.5,1.9,24.7,
American IPA,IPA,21A,5.5,7.5,6.5,40,70,55,6,14,10,1.056,1.07,1.063,15.35,1.008,1.014,1.011,2.82,81.64%,0.873,0.95,66.88%,2015,1.02,5.084,10.8,2.7,19.5,5,54.4,
American Lager,Standard American Beer,01B,4.2,5.3,4.8,8,18,13,2,4,3,1.04,1.05,1.045,11.15,1.004,1.01,1.007,1.8,83.86%,0.289,0.321,68.70%,2015,1.014,3.491,3.7,0.94,7.2,1.9,12.9,
American Light Lager,Standard American Beer,01A,2.8,4.2,3.5,8,12,10,2,3,2.5,1.028,1.04,1.034,8.52,0.998,1.008,1.003,0.77,90.90%,0.294,0.347,74.47%,2015,1.009,2.174,4.6,1.16,12.9,3.3,10,
American Pale Ale,Pale American Ale,18B,4.5,6.2,5.4,30,50,40,5,10,7.5,1.045,1.06,1.053,12.92,1.01,1.015,1.013,3.2,75.25%,0.762,0.781,61.64%,2015,1.02,4.955,8.1,2.03,12.5,3.2,39.5,
American Porter,American Porter and Stout,20A,4.8,6.5,5.7,25,50,37.5,22,40,31,1.05,1.07,1.06,14.66,1.012,1.018,1.015,3.83,73.89%,0.625,0.632,60.53%,2015,1.023,5.786,6.5,1.62,9.8,2.5,36.9,
American Stout,American Porter and Stout,20B,5,7,6,35,75,55,30,40,35,1.05,1.075,1.063,15.24,1.01,1.022,1.016,4.08,73.23%,0.88,0.884,59.99%,2015,1.024,6.096,9,2.25,13.5,3.4,54.1,
American Strong Ale,Strong American Ale,22B,6.3,10,8.2,50,100,75,7,19,13,1.062,1.09,1.076,18.29,1.014,1.024,1.019,4.83,73.60%,0.987,0.995,60.29%,2015,1.029,7.264,10.3,2.56,15.5,3.9,73.6,
American Wheat Beer,Standard American Beer,01D,4,5.5,4.8,15,30,22.5,3,6,4.5,1.04,1.055,1.048,11.74,1.008,1.013,1.011,2.69,77.09%,0.474,0.494,63.15%,2015,1.017,4.328,5.2,1.31,8.4,2.1,22.3,
Australian Sparkling Ale,Pale Commonwealth Beer,12B,4.5,6,5.3,20,35,27.5,4,7,5.5,1.038,1.05,1.044,10.92,1.004,1.006,1.005,1.29,88.20%,0.625,0.721,72.25%,2015,1.012,3.029,9.1,2.28,21.3,5.5,27.4,
Baltic Porter,Strong European Beer,09C,6.5,9.5,8,20,40,30,17,30,23.5,1.06,1.09,1.075,18.07,1.016,1.024,1.02,5.08,71.90%,0.4,0.396,58.90%,2015,1.03,7.427,4,1,5.9,1.5,29.4,
Belgian Blond Ale,Strong Belgian Ale,25A,6,7.5,6.8,15,30,22.5,4,7,5.5,1.062,1.075,1.069,16.6,1.008,1.018,1.013,3.32,79.98%,0.328,0.352,65.52%,2015,1.023,5.725,3.9,0.98,6.8,1.7,22.2,
Belgian Dark Strong Ale,Trappist Ale,26D,8,12,10,20,35,27.5,12,22,17,1.075,1.11,1.093,21.93,1.01,1.024,1.017,4.33,80.26%,0.297,0.32,65.75%,2015,1.031,7.511,3.7,0.9,6.4,1.6,27,
Belgian Dubbel,Trappist Ale,26B,6,7.6,6.8,15,25,20,10,17,13.5,1.062,1.075,1.069,16.6,1.008,1.018,1.013,3.32,79.98%,0.292,0.313,65.52%,2015,1.023,5.725,3.5,0.87,6,1.5,19.7,
Belgian Golden Strong Ale,Strong Belgian Ale,25C,7.5,10.5,9,22,35,28.5,3,6,4.5,1.07,1.095,1.083,19.74,1.005,1.016,1.011,2.69,86.37%,0.345,0.392,70.75%,2015,1.024,5.773,4.9,1.21,10.6,2.7,28.2,
Belgian Pale Ale,Belgian Ale,24B,4.8,5.5,5.2,20,30,25,8,14,11,1.048,1.054,1.051,12.57,1.01,1.014,1.012,3.07,75.56%,0.49,0.504,61.90%,2015,1.019,4.788,5.2,1.31,8.1,2.1,24.7,
Belgian Tripel,Trappist Ale,26C,7.5,9.5,8.5,20,40,30,4.5,7,5.75,1.075,1.085,1.08,19.19,1.008,1.014,1.011,2.82,85.31%,0.375,0.422,69.89%,2015,1.023,5.777,5.2,1.28,10.6,2.7,29.7,
Berliner Weisse,European Sour Ale,23A,2.8,3.8,3.3,3,8,5.5,2,3,2.5,1.028,1.032,1.03,7.54,1.003,1.006,1.005,1.16,84.62%,0.183,0.205,69.32%,2015,1.009,2.314,2.4,0.6,4.7,1.2,5.5,
Best Bitter,British Bitter,11B,3.8,4.6,4.2,25,40,32.5,8,16,12,1.04,1.048,1.044,10.92,1.008,1.012,1.01,2.56,76.51%,0.739,0.766,62.68%,2015,1.016,4.074,8,2.01,12.7,3.3,32.2,
Bière de Garde,Belgian Ale,24C,6,8.5,7.3,18,28,23,6,19,12.5,1.06,1.08,1.07,16.94,1.008,1.016,1.012,3.07,81.87%,0.329,0.358,67.07%,2015,1.022,5.579,4.1,1.02,7.5,1.9,22.7,
Blonde Ale,Pale American Ale,18A,3.8,5.5,4.7,15,28,21.5,3,6,4.5,1.038,1.054,1.046,11.39,1.008,1.013,1.011,2.69,76.37%,0.467,0.484,62.56%,2015,1.017,4.264,5,1.27,8,2,21.3,
British Brown Ale,Brown British Beer,13B,4.2,5.4,4.8,20,30,25,12,22,17,1.04,1.052,1.046,11.39,1.008,1.013,1.011,2.69,76.37%,0.543,0.563,62.56%,2015,1.017,4.264,5.9,1.48,9.3,2.4,24.7,
British Golden Ale,Pale Commonwealth Beer,12A,3.8,5,4.4,20,45,32.5,2,6,4,1.038,1.053,1.046,11.27,1.006,1.012,1.009,2.31,79.50%,0.714,0.762,65.13%,2015,1.016,3.93,8.3,2.08,14.1,3.6,32.2,
British Strong Ale,Strong British Ale,17A,5.5,8,6.8,30,60,45,8,22,15,1.055,1.08,1.068,16.38,1.015,1.022,1.019,4.7,71.27%,0.667,0.657,58.39%,2015,1.027,6.815,6.6,1.64,9.6,2.4,44.2,
Burton Ale,British Strong Ale,17A,5,7.5,6.3,40,50,45,14,22,18,1.055,1.075,1.065,15.81,1.018,1.024,1.021,5.33,66.30%,0.692,0.647,54.31%,2015,1.029,7.222,6.2,1.55,8.4,2.1,44.1,
California Common,Amber and Brown American Beer,19B,4.5,5.5,5,30,45,37.5,10,14,12,1.048,1.054,1.051,12.57,1.011,1.014,1.013,3.2,74.56%,0.735,0.748,61.08%,2015,1.019,4.892,7.7,1.93,11.7,3,37,
Catharina Sour,Provisional Style,X4,4,5.5,4.8,2,8,5,2,7,4.5,1.039,1.048,1.044,10.8,1.016,1.002,1.008,2.06,80.96%,0.115,0.124,66.32%,2015,1.014,3.636,1.4,0.35,2.4,0.6,5,
Cream Ale,Standard American Beer,01C,4.2,5.6,4.9,8,20,14,2.5,5,3.75,1.042,1.055,1.049,11.98,1.006,1.012,1.009,2.31,80.72%,0.289,0.312,66.12%,2015,1.016,4.059,3.4,0.87,6.1,1.6,13.9,
Czech Amber Lager,Czech Lager,03C,4.4,5.8,5.1,20,35,27.5,10,16,13,1.044,1.06,1.052,12.8,1.013,1.017,1.015,3.83,70.10%,0.529,0.515,57.43%,2015,1.022,5.45,5,1.27,7.2,1.8,27.1,
Czech Dark Lager,Czech Lager,03D,4.4,5.8,5.1,18,34,26,14,35,24.5,1.044,1.06,1.052,12.8,1.013,1.017,1.015,3.83,70.10%,0.5,0.487,57.43%,2015,1.022,5.45,4.8,1.2,6.8,1.7,25.6,
Czech Pale Lager,Czech Lager,03A,3,4.1,3.6,20,35,27.5,3,6,4.5,1.028,1.044,1.036,9,1.008,1.014,1.011,2.82,68.69%,0.764,0.733,56.27%,2015,1.016,3.936,7,1.77,9.8,2.5,27.2,
Czech Premium Pale Lager,Czech Lager,03B,4.2,5.8,5,30,45,37.5,3.5,6,4.75,1.044,1.06,1.052,12.8,1.013,1.017,1.015,3.83,70.10%,0.721,0.702,57.43%,2015,1.022,5.45,6.9,1.73,9.8,2.5,36.9,
Dark Mild,Brown British Beer,13A,3,3.8,3.4,10,25,17.5,12,25,18.5,1.03,1.038,1.034,8.52,1.008,1.013,1.011,2.69,68.40%,0.515,0.492,56.03%,2015,1.015,3.744,4.7,1.19,6.5,1.7,17.3,
Doppelbock,Strong European Beer,09A,7,10,8.5,16,26,21,6,25,15.5,1.072,1.112,1.092,21.82,1.016,1.024,1.02,5.08,76.73%,0.228,0.237,62.85%,2015,1.033,8.105,2.6,0.64,4.1,1.1,20.6,
Double IPA,Strong American Ale,22A,7.5,10,8.8,60,120,90,6,14,10,1.065,1.085,1.075,18.07,1.008,1.018,1.013,3.32,81.61%,1.2,1.306,66.85%,2015,1.024,5.99,15,3.72,27.1,6.9,88.8,
Dunkles Bock,Amber Malty European Lager,06C,6.3,7.2,6.8,20,27,23.5,14,22,18,1.064,1.072,1.068,16.49,1.013,1.019,1.016,4.08,75.27%,0.346,0.354,61.66%,2015,1.025,6.323,3.7,0.93,5.8,1.5,23.1,
Dunkles Weissbier,German Wheat Beer,10B,4.3,5.6,5,10,18,14,14,23,18.5,1.044,1.056,1.05,12.33,1.01,1.014,1.012,3.07,75.10%,0.28,0.286,61.52%,2015,1.019,4.746,3,0.74,4.6,1.2,13.8,
Eisbock,Strong European Beer,09B,9,14,11.5,25,35,30,18,30,24,1.078,1.12,1.099,23.33,1.02,1.035,1.028,6.93,70.29%,0.303,0.295,57.58%,2015,1.04,9.897,3,0.74,4.3,1.1,29.2,
English Barleywine,Strong British Ale,17D,8,12,10,35,70,52.5,8,22,15,1.08,1.12,1.1,23.55,1.018,1.03,1.024,6.07,74.22%,0.525,0.533,60.80%,2015,1.038,9.23,5.7,1.39,8.6,2.2,51.3,
English IPA,Pale Commonwealth Beer,12C,5,7.5,6.3,40,60,50,6,14,10,1.05,1.075,1.063,15.24,1.01,1.018,1.014,3.58,76.53%,0.8,0.83,62.69%,2015,1.023,5.684,8.8,2.2,14,3.6,49.3,
English Porter,Brown British Beer,13C,4,5.4,4.7,18,35,26.5,20,30,25,1.04,1.052,1.046,11.39,1.008,1.014,1.011,2.82,75.26%,0.576,0.59,61.65%,2015,1.017,4.368,6.1,1.53,9.4,2.4,26.2,
Festbier,Pale Malty European Lager,04B,5.8,6.3,6.1,18,25,21.5,4,7,5.5,1.054,1.057,1.056,13.62,1.01,1.012,1.011,2.82,79.31%,0.387,0.413,64.97%,2015,1.019,4.771,4.5,1.13,7.6,2,21.3,
Flanders Red Ale,European Sour Ale,23B,4.6,6.5,5.6,10,25,17.5,10,16,13,1.048,1.057,1.053,12.92,1.002,1.012,1.007,1.8,86.06%,0.333,0.378,70.50%,2015,1.015,3.811,4.6,1.15,9.7,2.5,17.4,
Foreign Extra Stout,Dark British Beer,16D,6.3,8,7.2,50,70,60,30,40,35,1.056,1.075,1.066,15.92,1.01,1.018,1.014,3.58,77.54%,0.916,0.96,63.52%,2015,1.023,5.808,10.3,2.57,16.8,4.3,59.2,
Fruit Lambic,European Sour Ale,23F,5,7,6,0,10,5,3,7,5,1.04,1.06,1.05,12.33,1,1.01,1.005,1.29,89.55%,0.1,0.117,73.36%,2015,1.013,3.285,1.5,0.38,3.9,1,5,
German Helles Exportbier,Pale Bitter European beer,05C,4.8,6,5.4,20,30,25,4,7,5.5,1.048,1.056,1.052,12.8,1.01,1.015,1.013,3.2,75.02%,0.481,0.492,61.46%,2015,1.02,4.934,5.1,1.27,7.8,2,24.7,
German Leichtbier,Pale Bitter European beer,05A,2.4,3.6,3,15,28,21.5,2,5,3.5,1.026,1.034,1.03,7.54,1.006,1.01,1.008,2.06,72.75%,0.717,0.716,59.60%,2015,1.012,3.048,7.1,1.8,10.5,2.7,21.3,
German Pils,Pale Bitter European beer,05D,4.4,5.2,4.8,22,40,31,2,5,3.5,1.044,1.05,1.047,11.63,1.008,1.013,1.011,2.69,76.85%,0.66,0.686,62.96%,2015,1.017,4.307,7.2,1.81,11.5,3,30.7,
Gose,Historical Beer,27A,4.2,4.8,4.5,5,12,8.5,3,4,3.5,1.036,1.056,1.046,11.39,1.006,1.01,1.008,2.06,81.95%,0.185,0.202,67.14%,2015,1.015,3.743,2.3,0.57,4.1,1.1,8.4,
Gueuze,European Sour Ale,23E,5,8,6.5,0,10,5,3,7,5,1.04,1.06,1.05,12.33,1,1.006,1.003,0.77,93.72%,0.1,0.121,76.77%,2015,1.011,2.864,1.7,0.43,6.5,1.7,5,
Helles Bock,Pale Malty European Lager,04C,6.3,7.4,6.9,23,35,29,6,11,8.5,1.064,1.072,1.068,16.49,1.011,1.018,1.015,3.7,77.55%,0.426,0.447,63.53%,2015,1.024,6.014,4.8,1.2,7.8,2,28.6,
